  k                  S_n                  |S-S_n|  Elapsed Time  Storage
  3  1.52742205215419502  1.17512014694031386e-01      2.359517      8B
  4  1.58434653344498710  6.05875334032393020e-02      2.058702      8B
  5  1.61416726282792444  3.07668040203019633e-02      1.964715     16B
  6  1.62943050140888746  1.55035654393389510e-02      2.131364     24B
  7  1.63715200495446167  7.78206189376473567e-03      2.180551     48B
  8  1.64103543630868032  3.89863053954608851e-03      2.083065     88B
  9  1.64298284795509675  1.95121889312965813e-03      2.147564    176B
 10  1.64395798103016411  9.76085818062299992e-04      1.979932    344B
 11  1.64444590478811326  4.88162060113150886e-04      2.027598    688B
 12  1.64468995602312318  2.44110825103227569e-04      1.965548      1kB
 13  1.64481200398600302  1.22062862223382140e-04      1.896294      2kB
 14  1.64487303355458403  6.10332936423763073e-05      1.974697      5kB
 15  1.64490354973575825  3.05171124681535844e-05      1.956427     10kB
 16  1.64491880817557856  1.52586726478443069e-05      1.847116     21kB
 17  1.64492643748279876  7.62936542764158787e-06      1.902329     43kB
 18  1.64493025215823674  3.81468998966738582e-06      1.982628     87kB
 19  1.64493215950141214  1.90734681426718566e-06      1.872098    174kB
 20  1.64493311317436497  9.53673861436854509e-07      1.886088    349kB
 21  1.64493359001118145  4.76837044960376488e-07      1.950191    699kB
 22  1.64493382842967595  2.38418550457808465e-07      1.952788      1MB
 23  1.64493394763894440  1.19209282001264683e-07      1.911118      2MB
 24  1.64493400724358318  5.96046432210783905e-08      1.924017      5MB
 25  1.64493403704590424  2.98023221656507076e-08      2.061362     11MB
 26  1.64493405194706543  1.49011609718030513e-08      2.099070     22MB
 27  1.64493405939764648  7.45057993079001335e-09      2.896334     44MB
 28  1.64493406312293655  3.72528985437270421e-09      4.490314     89MB
 29  1.64493406498558170  1.86264470514174718e-09      6.131994    178MB
 30  1.64493406591690361  9.31322796660083441e-10      9.753588    357MB
 31  1.64493406638256512  4.65661287307739258e-10     16.451315    715MB
