  k                  S_n                  |S-S_n|  Elapsed Time  Storage
  3  1.52742205215419502  1.17512014694031386e-01      0.000002     64B
  4  1.58434653344498710  6.05875334032393020e-02      0.000001    128B
  5  1.61416726282792444  3.07668040203019633e-02      0.000002    256B
  6  1.62943050140888746  1.55035654393389510e-02      0.000003    512B
  7  1.63715200495446189  7.78206189376451363e-03      0.000005      1kB
  8  1.64103543630868054  3.89863053954586647e-03      0.000010      2kB
  9  1.64298284795509675  1.95121889312965813e-03      0.000018      4kB
 10  1.64395798103016411  9.76085818062299992e-04      0.000038      8kB
 11  1.64444590478811348  4.88162060112928842e-04      0.000077     16kB
 12  1.64468995602312340  2.44110825103005524e-04      0.000156     32kB
 13  1.64481200398600391  1.22062862222493962e-04      0.000316     65kB
 14  1.64487303355458359  6.10332936428203965e-05      0.000632    131kB
 15  1.64490354973575803  3.05171124683756290e-05      0.001352    262kB
 16  1.64491880817557856  1.52586726478443069e-05      0.002655    524kB
 17  1.64492643748279899  7.62936542741954327e-06      0.005212      1MB
 18  1.64493025215823674  3.81468998966738582e-06      0.010430      2MB
 19  1.64493215950141258  1.90734681382309645e-06      0.019837      4MB
 20  1.64493311317436475  9.53673861658899114e-07      0.038694      8MB
 21  1.64493359001118189  4.76837044516287278e-07      0.076865     16MB
 22  1.64493382842967573  2.38418550679853070e-07      0.155585     33MB
 23  1.64493394763894396  1.19209282445353892e-07      0.313932     67MB
 24  1.64493400724358341  5.96046429990337856e-08      0.579589    134MB
 25  1.64493403704590446  2.98023219436061026e-08      1.255782    268MB
 26  1.64493405194706521  1.49011611938476562e-08      1.458165    536MB
 27  1.64493405939764581  7.45058059692382812e-09      2.549107      1GB
 28  1.64493406312293611  3.72529029846191406e-09      4.653521      2GB
 29  1.64493406498558126  1.86264514923095703e-09      9.245715      4GB
 30  1.64493406591690383  9.31322574615478516e-10     19.882205      8GB
 31  1.64493406638256512  4.65661287307739258e-10     42.140706     17GB
