  k                  S_n                  |S-S_n|  Elapsed Time  Storage
  3  1.52742205215419502  1.17512014694031386e-01      0.030455     64B
  4  1.58434653344498710  6.05875334032393020e-02      0.019868    128B
  5  1.61416726282792444  3.07668040203019633e-02      0.018564    256B
  6  1.62943050140888746  1.55035654393389510e-02      0.020747    512B
  7  1.63715200495446189  7.78206189376451363e-03      0.031377      1kB
  8  1.64103543630868098  3.89863053954542238e-03      0.018366      2kB
  9  1.64298284795509675  1.95121889312965813e-03      0.022238      4kB
 10  1.64395798103016411  9.76085818062299992e-04      0.028418      8kB
 11  1.64444590478811348  4.88162060112928842e-04      0.030812     16kB
 12  1.64468995602312362  2.44110825102783480e-04      0.021399     32kB
 13  1.64481200398600369  1.22062862222716006e-04      0.020176     65kB
 14  1.64487303355458336  6.10332936430424411e-05      0.026319    131kB
 15  1.64490354973575781  3.05171124685976736e-05      0.024138    262kB
 16  1.64491880817557856  1.52586726478443069e-05      0.023600    524kB
 17  1.64492643748279899  7.62936542741954327e-06      0.019581      1MB
 18  1.64493025215823674  3.81468998966738582e-06      0.025418      2MB
 19  1.64493215950141258  1.90734681382309645e-06      0.019574      4MB
 20  1.64493311317436475  9.53673861658899114e-07      0.016499      8MB
 21  1.64493359001118189  4.76837044516287278e-07      0.033023     16MB
 22  1.64493382842967595  2.38418550457808465e-07      0.023714     33MB
 23  1.64493394763894374  1.19209282667398497e-07      0.029301     67MB
 24  1.64493400724358341  5.96046429990337856e-08      0.061732    134MB
 25  1.64493403704590424  2.98023221656507076e-08      0.102893    268MB
 26  1.64493405194706543  1.49011609718030513e-08      0.172050    536MB
 27  1.64493405939764581  7.45058059692382812e-09      0.258416      1GB
 28  1.64493406312293589  3.72529052050651899e-09      0.566326      2GB
 29  1.64493406498558103  1.86264537127556196e-09      1.137201      4GB
 30  1.64493406591690383  9.31322574615478516e-10      1.235342      8GB
 31  1.64493406638256512  4.65661287307739258e-10      2.122232     17GB
